Sentence,Important
" According to tracking website MarineTraffic, the ship abruptly changed direction south of Othonoi on Tuesday morning, heading west towards Italy.
 ",0.0
" Weather conditions in the Ionian sea have been poor for several days, hampering the rescue of those on board the Norman Atlantic ferry which caught fire in the area, killing at least 11 people earlier this week.",0.0
" The year 2014 was the deadliest year yet in Syria's four-year conflict, with over 76,000 killed, activists say.
 ",1.0
" The UK-based Syrian Observatory for Human Rights said 17,790 of the dead were civilians, including 3,501 children.
 ",1.0
" Meanwhile more than 15,000 died in conflicts in Iraq in 2014, making it that country's worst year since 2007.
 ",0.0
" Much of the violence comes as a result of advances by Islamic State and other militants groups in the two countries.
 ",0.0
" US-led air strikes against Islamic State (IS) militants, fighting between government troops and rebels in Syria, and sectarian violence in Iraq have also accounted for large numbers of deaths.
 ",0.0
" The air strikes continued on Thursday, with 17 against IS targets near the Syrian cities of Raqqa, Kobane and Deir al-Zour and 12 near the Iraqi cities of Falluja, Mosul and Sinjar.
 ",0.0
" Meanwhile Syrian President Bashar al-Assad marked the new year with a visit to front-line troops in the Damascus suburb of Jobar.
 ",0.0
" Mr Assad's Twitter and Facebook accounts showed pictures of him talking to two soldiers by a tank and shaking hands with a third.
 ",0.0
" The Syrian figures cannot be independently verified, but the Observatory says its draws on sources all across the country.
 ",1.0
" It said a total of 76,021 had died, slightly up on 2013's toll of 73,447 and bringing the total number of deaths since the conflict began in 2011 to more than 200,000.
 ",1.0
" Of the 2014 deaths, the Observatory said:       At least 22,627 were government soldiers or members of pro-government militias       Almost 17,000 were militants from groups including IS and al-Nusra Front       More than 15,000 were from moderate rebel groups and Islamist factions       Civilians made up 17,790 of the dead   On the same day, the Iraqi government published its figures on casualties in 2014.
 ",1.0
" It said 15,538 people had died and more than 22,000 were injured during the course of the year.
 ",0.0
" The UK-based NGO Iraq Body Count gave an even higher figure of 17,073 civilian deaths.
 ",0.0
" The NGO said there was a ""new brutality on the ground and renewed attack from the air"", with IS and the Iraqi army causing thousands of casualties, and US-led air strikes also responsible for civilian deaths.
 ",0.0
" The year began with the government losing control of Falluja and parts of Ramadi in western Iraq.
 ",0.0
" In June, a huge offensive by IS left large parts of northern Iraq in militant hands, including the second city Mosul.",0.0
" Three-time Democratic Governor of New York Mario Cuomo has died just hours after his son Andrew was inaugurated for a second term as governor, his family says.
 ",1.0
" Mr Cuomo, 82, refused a number of proposals to seek the US presidency during the course of a long career.
 ",0.0
" He died of heart failure at his home.
 ",1.0
" The New York Times described him as a ""liberal beacon"" who ""commanded the attention of the country with a compelling public presence"".
 ",0.0
" It said that he will be remembered for his ""exhaustive ruminations about whether to run for president"".
 ",0.0
" He was urged by the Democrats twice to run for the White House - in 1988 and 1992 - but on each occasion rejected their overtures.
 ",0.0
" Mr Cuomo, a renowned political orator, led New York during volatile times from 1983 to 1994 and many of his ambitious plans for the state were stifled by recession and cash shortages.
 ",0.0
" Mr Cuomo did not attend his son's inauguration speech on Thursday because he was not well - however the current governor used the occasion to honour his father.
 ",0.0
" ""He is in the heart and mind of every person who is here,"" Andrew Cuomo said.
 ",0.0
" ""He is here and his inspiration and his legacy and his experience is what has brought this state to this point, so let's give him a round of applause.
 ",0.0
" ''   Mario Cuomo's moved in public prominence in 1982 when he won the Democratic nomination for governor of New York, beating Ed Koch, the mayor of New York City.
 ",1.0
" He then went on to defeat conservative millionaire Republican Lewis Lehrman.
 ",0.0
" His reputation for powerful oratory began at the 1984 Democratic National Convention when he delivered his ""Tale of Two Cities"" keynote address, in which he contrasted wealthy New York with its poorer areas.
 ",0.0
" Correspondents say that the son of Italian immigrants and avid baseball fan was an unusually deep-thinking politician whose eloquence was often matched by his prickliness.
 ",0.0
" ""I didn't come into this business to be bland,"" he said.
 ",0.0
" He won two more terms as governor in 1986 and 1990, and frequently vetoed legislation that would have restored the death penalty in New York.",1.0
" US police say they have charged a man with first-degree murder after he decapitated his mother on New Year's Eve.
 ",1.0
" Florida officials said that 23-year-old Christian Gomez killed his mother with an axe on Wednesday.
 ",0.0
" Officers found the body of Maria Suarez-Cassagne outside the family home in Oldsmar, Pinellas County.
 ",1.0
" Mr Gomez, who had been diagnosed with schizophrenia, confessed to planning his mother's murder for two days.
 ",1.0
" His older brother called police for help on Wednesday evening and said that his mother had been beheaded by Mr Gomez.
 ",1.0
" Christian Gomez fled the scene after the attack but was arrested after another 911 call reported a suspicious person riding a bicycle in the area.
 ",0.0
" Sheriff Bob Gualtieri said on Thursday that Mr Gomez had been upset with his mother for asking him to move some boxes and because he was jealous of the attention she paid to his brother.
 ",1.0
 The sheriff said that the crime was one of the worst his department had ever seen.,0.0
" A US federal judge has denied requests by the Boston Marathon bombing suspect to delay the trial by nine months until September and move it to another city.
 ",1.0
" Defence lawyers for Dzhokhar Tsarnaev argued that they needed more time to prepare the case and said their client could not get a fair trial in Boston.
 ",0.0
" But the judge disagreed and jury selection is due to begin on Monday, although there will now be an appeal.
 ",0.0
" Three people were killed and more than 260 injured in the April 2013 bombings.
 ",1.0
" Mr Tsarnaev, 21, and his older brother, Tamerlan Tsarnaev, are accused of planting and detonating two pressure cooker bombs near the marathon finishing line.
 ",1.0
" He has denied the charges but faces the possibility of the death penalty if he is convicted.
 ",0.0
" His brother died in a shootout with police several days after the bombings, and the younger brother was captured the same day, hiding in a boat.
 ",0.0
" US District Court Judge George O'Toole denied the change-of-venue request and the plea for a nine-month delay in the start of the trial.
 ",0.0
" The defence team said it was overwhelmed by the length of the witness list and the number of potential court exhibits.
 ",0.0
 It is now asking the judge to postpone jury selection pending the outcome of the appeal.,0.0
" An Iranian nuclear scientist who claims he was abducted by CIA agents last year and taken to the United States has arrived back in Iran.
 ",1.0
" Shahram Amiri's flight from Qatar landed in Tehran in the early hours of Thursday morning.
 ",0.0
" The US state department has insisted he was in the US of his own free will.
 ",1.0
" In June, Mr Amiri appeared in three videos giving conflicting stories about how he had arrived in the US.
 ",1.0
" He said in the first that he had been kidnapped by CIA and Saudi agents while on a pilgrimage.
 ",0.0
" In the second message he said he had gone to the US to improve his education and was living freely in Arizona.
 ",0.0
" In the third, he claimed to have escaped from US custody.
 ",0.0
" On Monday evening Mr Amiri arrived at the Iranian Interests Section of the Pakistani embassy in Washington, which handles Iranian affairs in the US capital, and asked to be repatriated.
 ",1.0
" Since then, he has renewed his allegations that he was kidnapped, giving more details in an interview from the Iranian diplomatic mission with a Danish TV company.
 ",0.0
" He said he was abducted while on a pilgrimage to Saudi Arabia.
 ",1.0
" ""A white van stopped in front of me... They told me in Farsi that they were part of another group of pilgrims and said 'We are going towards a mosque and we will be happy to take you as well',"" he told Atlantic TV.
 ",0.0
" ""When I opened the door to get in and sit down, the person at the back put a gun to my side and said 'Please be quiet, don't make any noise'"".
 ",0.0
" He said he was drugged and woke up in a military plane which took him to ""American territory"".
 ",0.0
" He added that he was put under intense psychological pressure to accept millions of dollars and tell US media that he had defected from Iran with sensitive documents and was claiming asylum in the US - a deal he said he refused to accept.
 ",1.0
" But in the US, unnamed officials and security sources are claiming that Mr Amiri defected and was put into a programme similar to a witness-protection.
 ",1.0
" Later, he apparently became concerned for family members he had left behind, had a breakdown and decided to return to Iran, US reports claim.
 ",1.0
" A US official told the BBC: ""He provided useful information to the United States.
 ",0.0
" The Iranians now have him.
 ",0.0
" In terms of win-loss, it's not even a close call"".
 ",0.0
" In June, Iran claimed it had handed evidence to the US that the scientist had been abducted.
 ",1.0
" The US had repeatedly said it had no information about Mr Amiri.
 ",1.0
" However, on Tuesday, Secretary of State Hillary Clinton acknowledged publicly for the first time that the scientist was in the US - but she flatly denied allegations of abduction.
 ",1.0
" ""Mr Amiri has been in the United States of his own free will and he is free to go,"" she said.
 ",0.0
" Iranian media reports say Mr Amiri worked as a researcher at a university in Tehran, but some reports say he worked for the country's atomic energy organisation and had in-depth knowledge of its controversial nuclear programme.",0.0
" Five more US soldiers have been killed in Afghanistan, sending Nato's death toll to 12 in 24 hours.
 ",1.0
" Four soldiers belonging to the International Security Assistance Force (Isaf) were killed by a bomb in southern Afghanistan, Nato said.
 ",1.0
" Another US soldier died in a separate attack also in the south of the country.
 ",1.0
" It comes a day after three US soldiers and five Afghan civilians died in a suicide attack in Kandahar province.
 ",1.0
" The latest deaths came as a major manhunt was under way in Helmand province for the rogue Afghan soldier who killed three British soldiers from the Royal Gurkha Rifles on Tuesday.
 ",0.0
" A British Royal Marine was also killed on Tuesday in a separate incident in Helmand province.
 ",0.0
" So far in July, 45 international troops have died in Afghanistan, 33 of them from the US.
 ",1.0
" June saw more than 100 international troops killed - the bloodiest month of the nine-year-old war.
 ",1.0
" ""We are in the toughest part of this fight,"" Isaf spokesman Brig Gen Josef Blotz told reporters.
 ",0.0
" Late on Tuesday a suicide bomber detonated explosives at the gate of the headquarters of an elite Afghan police unit in Kandahar.
 ",0.0
" Minutes later, insurgents opened fire with machine guns and rocket-propelled grenades.
 ",0.0
" Three US soldiers, an Afghan policeman and five civilians died in the attack.
 ",0.0
" Isaf said that Afghan police backed by international forces fought back ""and prevented insurgents from penetrating the compound perimeter"".
 ",0.0
" The Taliban later admitted they were behind the attack.
 ",0.0
" Insurgents have stepped up attacks on government targets in Kandahar - the spiritual birthplace of the Taliban - as US reinforcements are poised for an expected Nato offensive in the city.
 ",0.0
" The three British soldiers who died on Tuesday were serving with 1st Battalion, The Royal Gurkha Rifles, in Nahr-e Saraj.
 ",0.0
" Nato said it was using every ""asset"" within its power to find the Afghan soldier responsible and those who may be helping him.
 ",0.0
" Afghan President Hamid Karzai has vowed a full investigation into the shooting.
 ",0.0
" One of the three was shot and the other two were killed by a rocket-propelled grenade, the BBC understands.
 ",0.0
" On Wednesday, Afghan army spokesman Gen Ghulam Farook Parwani identified the rogue soldier as Talib Hussein, from the minority Hazara community which is usually opposed to the Taliban.
 ",0.0
" He said the man's motive was still unclear.
 ",0.0
" Nato soldiers are increasingly fighting alongside their Afghan counterparts as the West tries to transfer responsibility for security ahead of a gradual withdrawal starting next year.
 ",0.0
" The Afghan interior ministry said another nine civilians were killed in Helmand province on Tuesday when the minivan they were travelling in was hit by a roadside bomb.
 ",0.0
" Bombs, known as improvised explosive devices (IEDs), are a common weapon of the Taliban.",0.0
" Faisal Shahzad: ""Islam will spread on the whole world and democracy will be defeated"" - video courtesy of al-Arabiya   A video has emerged in which the man who attempted to set off a car bomb in New York defends his actions.
 ",1.0
" Faisal Shahzad says in the tape he is carrying out the Times Square attack as revenge for Muslim fighters, ""oppressed and weak Muslims"", and ""martyrs"".
 ",1.0
" The Pakistani-born US citizen has admitted all charges relating to the attempted attack on 1 May.
 ",0.0
" A petrol and propane bomb was left in a car but failed to ignite.
 ",1.0
" Shahzad is due to be sentenced in October.
 ",0.0
" A street vendor saw smoke coming from the vehicle and alerted the police.
 ",1.0
" Shahzad was arrested two days later as he tried to take a flight to Dubai from New York's John F Kennedy airport.
 ",0.0
" In the video, broadcast on the al-Arabiya TV station, Shahzad refers to the US-led war in Afghanistan and to two Islamist leaders killed by US forces - Baytullah Mehsud and Abu Musaab al-Zarqawi of al-Qaeda in Iraq.
 ",0.0
" ""Eight years has passed by in Afghanistan and you will see that the Muslim war has just started,"" he says.
 ",0.0
" ""This attack on the United States will also be a revenge attack for all the mujahideen... and the weak and oppressed Muslims, for example Baytullah Mehsud and Abu Musaab al-Zarqawi, and all the Muslims and Arabs that have been martyred.
 ",1.0
" ""I will take revenge on their behalf and I really wish that the hearts of the Muslims will be pleased with this attack.
 ",0.0
" ""Islam will spread on the whole world and democracy will be defeated... and the world of Allah will be supreme"".
 ",1.0
" In a court appearance in Manhattan last month, Shahzad said he wanted to let the US know that if it did not get out of Iraq and Afghanistan and stop drone attacks and meddling in Muslim lands, ""we will be attacking US"".
 ",1.0
" Shahzad, 30, told the court: ""One has to understand where I'm coming from.
 ",0.0
" I consider myself... a Muslim soldier.
 ",0.0
" During their investigation, the FBI traced the purchase of the Nissan Pathfinder SUV to Shahzad, a transaction that eventually led to his arrest.
 ",0.0
" While being interrogated, Shahzad revealed he had gone to Pakistan's North Waziristan tribal region in December 2009 for bomb training with militants affiliated with the Pakistani Taliban, according to the indictment.
 ",0.0
" He is also alleged to have received about $5,000 in cash from an identified co-conspirator in Pakistan, whom he understood worked for the Taliban.
 ",0.0
" It said the same co-conspirator directed a second payment to Shahzad, of $7,000 in April, with which he bought a weapon, material to make the car bomb and the Nissan Pathfinder.",0.0
" A billboard advert in the US state of Iowa that linked President Obama to Adolf Hitler and Vladimir Lenin was removed on Wednesday morning.
 ",1.0
" The sign, which was funded by a group of local Tea Party activists, has been replaced with a community service announcement.
 ",1.0
" Text on the sign had read: ""Radical leaders prey on the fearful & naive"".
 ",1.0
" The billboard had angered many in the local community, including other Tea Party activists.
 ",0.0
" A representative of the Iowa group called the billboard's owner and requested the sign be removed on Tuesday evening.
 ",0.0
" A national Tea Party representative had called the controversial poster a waste of money, time and resources.
 ",1.0
" ""It's not going to help our cause.
 ",0.0
" It's going to make people think that the Tea Party is full of a bunch of right-wing fringe people, and that's not true,"" Shelby Blakely, of the national Tea Party Patriots group, told the Associated Press agency.
 ",1.0
" ""When you compare Obama to Hitler, that to me does a disservice to the Jews who both survived and died in the Holocaust and to the Germans who lived under Nazi regime rule,"" Mr Blakely said.
 ",0.0
" A spokesperson for the 200-person group that organised the billboard said it was intended to critique socialism, but admits that their message was overshadowed by the fascist images.
 ",0.0
" On Tuesday, America's largest civil rights group passed a resolution condemning the Tea Party for tolerating racism and bigotry.
 ",0.0
" The National Association for the Advancement of Colored People (NAACP) has not released the language of the motion, but a spokesperson has said that it calls on Tea Party members to ""repudiate the racist element and activities within the Tea Party"".
 ",0.0
" ""We don't have a problem with the Tea Party's existence.
 ",0.0
" We have an issue with their acceptance and welcoming of white supremacists into their organisations,"" said Ben Jealous, NAACP President.
 ",0.0
" Sarah Palin has responded to the resolution on her Facebook page.
 ",0.0
" ""The charge that Tea Party Americans judge people by the colour of their skin is false, appalling, and is a regressive and diversionary tactic to change the subject at hand,"" Mrs Palin wrote.",0.0
" A woman's body shape may influence how good her memory is, according to US researchers.
 ",1.0
" Although carrying excess weight anywhere appears to impair older women's brains, carrying it on the hips may make matters worse, they say.
 ",0.0
" The Northwestern Medicine team found ""apple-shaped"" women fared better than ""pears"" on cognitive tests.
 ",1.0
" But depositing fat around the waist increases the risk of cancer, diabetes and heart disease, experts warn.
 ",1.0
" They said the findings, in the Journal of the American Geriatrics Society, highlighted the importance of maintaining a healthy weight for both body and mind.
 ",1.0
" Some of the health risks associated with obesity, such as vascular disease and inflammation, may explain why people who are overweight appear to be at higher risk of dementia.
 ",0.0
" However, the latest study suggests a bit of extra fat around the waist may actually protect brain functioning.
 ",1.0
" The researchers believe belly fat makes more of the female hormone oestrogen that naturally dips after the menopause.
 ",0.0
" Oestrogen is thought to help protect the brain from cognitive decline.
 ",0.0
" The study involved 8,745 post-menopausal women aged 65 to 79.
 ",1.0
" These women were asked to complete a memory test that doctors use to judge brain function.
 ",0.0
" They were also weighed and measured, then scored on an obesity scale known as Body Mass Index or BMI.
 ",0.0
" Over two-thirds of the women were overweight or obese.
 ",1.0
" The researchers found that for every one point increase in a woman's BMI, her memory score dropped by one point.
 ",1.0
" And pear-shaped women - those with smaller waists but bigger hips - scored particularly poorly.
 ",1.0
" The researchers say this is likely to be related to the type of fat deposited around the hips versus the waist.
 ",0.0
" Scientists already know different kinds of fat release different hormones and have varying effects on insulin resistance, lipids and blood pressure.
 ",0.0
" Lead researcher Dr Diana Kerwin said: ""We need to find out if one kind of fat is more detrimental than the other, and how it affects brain function.
 ",0.0
" ""The fat may contribute to the formation of plaques associated with Alzheimer's disease or a restricted blood flow to the brain"".
 ",1.0
" Rebecca Wood, chief executive of the Alzheimer's Research Trust, said: ""The pear-shape is incredibly common, and while this study doesn't explain fully the link between body shape and brain function, it surely makes the case for watching the scales.
 ",0.0
" ""There is little we can do about our natural body shape, but a lot we can do about our weight.
 ",0.0
" ""With so much evidence of the dangers of obesity, we could all do well to consider sensible lifestyle changes to keep our weight in check"".",0.0
" A tiny mushroom, little known to scientists, is behind some 400 sudden deaths in China, experts say.
 ",1.0
" For 30 years, during the rainy season, scores of villagers in Yunnan province have died suddenly of cardiac arrest.
 ",1.0
" Following a five-year investigation, researchers from the Chinese Centre for Disease Control and Prevention (CDC) in Beijing say they have the culprit.
 ",1.0
" The mushroom, know as Little White, belongs to the Trogia genus and has three toxic amino acids, experts say.
 ",1.0
